"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-02 10:00:00" 28.8775634765625 41.0641479492188 "sxk995" 4 92 27 138
"2021-03-02 05:00:00" 27.9876708984375 41.0202026367188 "sx7ckg" 69 94 81 16
"2021-03-04 12:00:00" 28.8555908203125 41.0641479492188 "sxk98e" 1 110 36 388
"2021-03-03 11:00:00" 29.0313720703125 41.1355590820312 "sxkdh8" 6 77 36 64
"2021-03-02 07:00:00" 29.1741943359375 41.0037231445312 "sxk9rb" 2 74 29 217
"2021-03-01 05:00:00" 28.6248779296875 41.0256958007812 "sxk37k" 8 121 65 134
"2021-03-01 20:00:00" 28.4710693359375 41.1520385742188 "sxk4pg" 61 128 87 32
"2021-03-03 22:00:00" 28.8885498046875 41.0916137695312 "sxk9c2" 6 168 74 216
"2021-03-04 15:00:00" 28.1304931640625 41.0806274414062 "sxk18n" 64 154 92 38
"2021-03-01 13:00:00" 29.2181396484375 41.1849975585938 "sxkf2c" 46 218 91 158
"2021-03-01 07:00:00" 28.8665771484375 40.9762573242188 "sxk90g" 11 91 56 140
"2021-03-01 06:00:00" 29.2950439453125 40.8554077148438 "sxkb6t" 5 114 62 499
"2021-03-01 13:00:00" 29.0313720703125 41.2234497070312 "sxkds8" 10 190 77 99
"2021-03-02 20:00:00" 28.8006591796875 41.0806274414062 "sxk3xq" 12 111 53 27
"2021-03-01 00:00:00" 28.3721923828125 41.0806274414062 "sxk1tw" 46 158 86 20
"2021-03-04 03:00:00" 29.3280029296875 40.9872436523438 "sxkc5m" 47 99 79 37
"2021-03-03 20:00:00" 28.9764404296875 41.0476684570312 "sxk9e2" 2 31 15 27
"2021-03-03 18:00:00" 29.0423583984375 41.0751342773438 "sxk9sv" 2 52 20 22
"2021-03-04 07:00:00" 29.1741943359375 40.9542846679688 "sxk8zz" 12 59 33 37
"2021-03-03 13:00:00" 29.0533447265625 41.1410522460938 "sxkdj1" 6 67 26 42
"2021-03-02 11:00:00" 28.1964111328125 41.0806274414062 "sxk19w" 17 102 73 46
"2021-03-03 14:00:00" 28.7237548828125 41.1959838867188 "sxk6me" 8 62 27 31
"2021-03-03 20:00:00" 28.9874267578125 41.1685180664062 "sxkd5w" 4 73 32 22
"2021-03-01 17:00:00" 29.1522216796875 41.1300659179688 "sxk9zr" 21 75 55 15
"2021-03-01 09:00:00" 29.3280029296875 40.9707641601562 "sxkc56" 43 156 84 86
"2021-03-04 09:00:00" 28.8446044921875 41.1080932617188 "sxk9b7" 8 63 45 40
"2021-03-02 19:00:00" 28.8336181640625 41.0476684570312 "sxk980" 2 49 19 239
"2021-03-04 08:00:00" 28.0096435546875 41.2069702148438 "sx7fmm" 60 148 90 28
"2021-03-01 07:00:00" 28.8665771484375 41.1849975585938 "sxkd2c" 53 135 88 110
"2021-03-03 12:00:00" 28.4820556640625 41.0586547851562 "sxk384" 24 152 88 149
"2021-03-03 18:00:00" 28.9874267578125 41.0586547851562 "sxk9ed" 2 43 14 71
"2021-03-03 22:00:00" 28.8226318359375 41.0586547851562 "sxk3xf" 8 58 32 13
"2021-03-01 04:00:00" 28.8006591796875 41.2344360351562 "sxk6x6" 42 132 76 14
"2021-03-01 15:00:00" 29.1961669921875 41.0037231445312 "sxkc22" 6 56 22 47
"2021-03-01 10:00:00" 29.1741943359375 40.8993530273438 "sxk8xv" 6 96 26 74
"2021-03-02 04:00:00" 28.6248779296875 41.0476684570312 "sxk3e2" 18 97 61 19
"2021-03-01 09:00:00" 28.8665771484375 40.9982299804688 "sxk90z" 2 89 27 311
"2021-03-04 14:00:00" 29.2840576171875 40.8718872070312 "sxkbd2" 11 119 74 124
"2021-03-02 06:00:00" 29.2730712890625 41.0092163085938 "sxkc61" 47 151 79 188
"2021-03-03 12:00:00" 29.2730712890625 40.8718872070312 "sxkbd0" 4 94 35 210
"2021-03-03 14:00:00" 28.8665771484375 41.0421752929688 "sxk92z" 2 37 16 95
"2021-03-03 18:00:00" 28.8116455078125 41.1026000976562 "sxk3zd" 7 142 82 102
"2021-03-01 19:00:00" 28.6029052734375 41.2179565429688 "sxk66z" 37 148 77 93
"2021-03-01 05:00:00" 28.7786865234375 41.1080932617188 "sxk3yg" 11 68 37 19
"2021-03-04 00:00:00" 28.9984130859375 41.0366821289062 "sxk97y" 2 72 31 17
"2021-03-02 06:00:00" 28.6578369140625 41.2728881835938 "sxk6u1" 56 107 81 20
"2021-03-03 16:00:00" 28.9434814453125 41.0476684570312 "sxk9d8" 2 104 28 379
"2021-03-03 19:00:00" 28.9105224609375 41.0311889648438 "sxk93v" 5 46 21 42
"2021-03-01 12:00:00" 28.8336181640625 41.2234497070312 "sxkd80" 9 149 72 109
"2021-03-02 16:00:00" 28.4600830078125 41.1959838867188 "sxk4re" 39 139 88 24
"2021-03-02 15:00:00" 28.9764404296875 41.0916137695312 "sxk9g2" 5 64 29 72
"2021-03-01 08:00:00" 28.0755615234375 41.0751342773438 "sx7cwv" 43 112 78 25
"2021-03-01 12:00:00" 28.9215087890625 41.0147094726562 "sxk964" 2 67 30 109
"2021-03-03 22:00:00" 28.7896728515625 41.0861206054688 "sxk3xp" 10 99 46 28
"2021-03-03 22:00:00" 28.8116455078125 41.1575317382812 "sxk6ps" 51 142 85 143
"2021-03-04 19:00:00" 29.0203857421875 40.9927368164062 "sxk9hq" 3 55 20 45
"2021-03-02 22:00:00" 29.3829345703125 40.8609008789062 "sxkbkw" 27 128 73 226
"2021-03-01 20:00:00" 28.4600830078125 41.0531616210938 "sxk1x9" 53 144 82 83
"2021-03-01 08:00:00" 29.0203857421875 41.2069702148438 "sxkdkm" 12 51 30 12
"2021-03-01 18:00:00" 28.8555908203125 41.0256958007812 "sxk92s" 4 42 15 85
"2021-03-01 08:00:00" 28.9105224609375 41.0037231445312 "sxk93b" 5 49 19 37
"2021-03-01 09:00:00" 29.3060302734375 40.9982299804688 "sxkc4z" 46 148 86 128
